sentence_id,word,deprel,head_id,head
0,As,mark,2,walked
0,the,nsubj,2,walked
0,walked,advcl,10,started
0,past,prep,2,walked
0,it,pobj,3,past
0,",",punct,10,started
0,the,det,7,driver
0,driver,poss,9,glass
0,'s,case,7,driver
0,glass,nsubj,10,started
0,started,ROOT,-1,ROOT
0,to,aux,12,open
0,open,xcomp,10,started
0,.,punct,10,started
1,As,mark,2,walked
1,Shi,nsubj,2,walked
1,walked,advcl,10,started
1,past,prep,2,walked
1,it,pobj,3,past
1,",",punct,10,started
1,the,det,7,driver
1,driver,poss,9,glass
1,'s,case,7,driver
1,glass,nsubj,10,started
1,started,ROOT,-1,ROOT
1,to,aux,12,open
1,open,xcomp,10,started
1,.,punct,10,started
2,As,mark,2,walked
2,He,nsubj,2,walked
2,walked,advcl,10,started
2,past,prep,2,walked
2,it,pobj,3,past
2,",",punct,10,started
2,the,det,7,driver
2,driver,poss,9,glass
2,'s,case,7,driver
2,glass,nsubj,10,started
2,started,ROOT,-1,ROOT
2,to,aux,12,open
2,open,xcomp,10,started
2,.,punct,10,started
3,As,mark,2,walked
3,sha,nsubj,2,walked
3,walked,advcl,10,started
3,past,prep,2,walked
3,it,pobj,3,past
3,",",punct,10,started
3,the,det,7,driver
3,driver,poss,9,glass
3,'s,case,7,driver
3,glass,nsubj,10,started
3,started,ROOT,-1,ROOT
3,to,aux,12,open
3,open,xcomp,10,started
3,.,punct,10,started
4,As,mark,2,wakld
4,she,nsubj,2,wakld
4,wakld,advcl,10,started
4,past,prep,2,wakld
4,it,pobj,3,past
4,",",punct,10,started
4,the,det,7,driver
4,driver,poss,9,glass
4,'s,case,7,driver
4,glass,nsubj,10,started
4,started,ROOT,-1,ROOT
4,to,aux,12,open
4,open,xcomp,10,started
4,.,punct,10,started
5,As,mark,2,walked
5,she,nsubj,2,walked
5,walked,advcl,10,started
5,pst,prep,2,walked
5,it,pobj,3,pst
5,",",punct,10,started
5,the,det,7,driver
5,driver,poss,9,glass
5,'s,case,7,driver
