id,word,deprel,head,head_word,sentence_id
0,As,mark,2,walked,0
1,the,nsubj,2,walked,0
2,walked,advcl,10,started,0
3,past,prep,2,walked,0
4,it,pobj,3,past,0
5,",",punct,10,started,0
6,the,det,7,driver,0
7,driver,poss,9,glass,0
8,'s,case,7,driver,0
9,glass,nsubj,10,started,0
10,started,ROOT,-1,ROOT,0
11,to,aux,12,open,0
12,open,xcomp,10,started,0
13,.,punct,10,started,0
0,As,mark,2,walked,1
1,Shi,nsubj,2,walked,1
2,walked,advcl,10,started,1
3,past,prep,2,walked,1
4,it,pobj,3,past,1
5,",",punct,10,started,1
6,the,det,7,driver,1
7,driver,poss,9,glass,1
8,'s,case,7,driver,1
9,glass,nsubj,10,started,1
10,started,ROOT,-1,ROOT,1
11,to,aux,12,open,1
12,open,xcomp,10,started,1
13,.,punct,10,started,1
0,As,mark,2,walked,2
1,He,nsubj,2,walked,2
2,walked,advcl,10,started,2
3,past,prep,2,walked,2
4,it,pobj,3,past,2
5,",",punct,10,started,2
6,the,det,7,driver,2
7,driver,poss,9,glass,2
8,'s,case,7,driver,2
9,glass,nsubj,10,started,2
10,started,ROOT,-1,ROOT,2
11,to,aux,12,open,2
12,open,xcomp,10,started,2
13,.,punct,10,started,2
0,As,mark,2,walked,3
1,sha,nsubj,2,walked,3
2,walked,advcl,10,started,3
3,past,prep,2,walked,3
4,it,pobj,3,past,3
5,",",punct,10,started,3
6,the,det,7,driver,3
7,driver,poss,9,glass,3
8,'s,case,7,driver,3
9,glass,nsubj,10,started,3
10,started,ROOT,-1,ROOT,3
11,to,aux,12,open,3
12,open,xcomp,10,started,3
13,.,punct,10,started,3
0,As,mark,2,wakld,4
1,she,nsubj,2,wakld,4
2,wakld,advcl,10,started,4
3,past,prep,2,wakld,4
4,it,pobj,3,past,4
5,",",punct,10,started,4
6,the,det,7,driver,4
7,driver,poss,9,glass,4
8,'s,case,7,driver,4
9,glass,nsubj,10,started,4
10,started,ROOT,-1,ROOT,4
11,to,aux,12,open,4
12,open,xcomp,10,started,4
13,.,punct,10,started,4
0,As,mark,2,walked,5
1,she,nsubj,2,walked,5
2,walked,advcl,10,started,5
3,pst,prep,2,walked,5
4,it,pobj,3,pst,5
5,",",punct,10,started,5
6,the,det,7,driver,5
7,driver,poss,9,glass,5
8,'s,case,7,driver,5
9,glass,nsubj,10,started,5
10,started,ROOT,-1,ROOT,5
11,to,aux,12,open,5
12,open,xcomp,10,started,5
13,.,punct,10,started,5
0,As,mark,2,walked,6
1,she,nsubj,2,walked,6
2,walked,advcl,10,started,6
3,pas,prep,2,walked,6
4,it,pobj,3,pas,6
5,",",punct,10,started,6
6,the,det,7,driver,6
7,driver,poss,9,glass,6
8,'s,case,7,driver,6
9,glass,nsubj,10,started,6
10,started,ROOT,-1,ROOT,6
11,to,aux,12,open,6
12,open,xcomp,10,started,6
13,.,punct,10,started,6
0,As,mark,2,walked,7
1,she,nsubj,2,walked,7
2,walked,advcl,10,started,7
3,pasto,prep,2,walked,7
4,it,pobj,3,pasto,7
5,",",punct,10,started,7
6,the,det,7,driver,7
7,driver,poss,9,glass,7
8,'s,case,7,driver,7
9,glass,nsubj,10,started,7
10,started,ROOT,-1,ROOT,7
11,to,aux,12,open,7
12,open,xcomp,10,started,7
13,.,punct,10,started,7
0,As,mark,2,walked,8
1,she,nsubj,2,walked,8
2,walked,advcl,10,started,8
3,pass,prep,2,walked,8
4,it,pobj,3,pass,8
5,",",punct,10,started,8
6,the,det,7,driver,8
7,driver,poss,9,glass,8
8,'s,case,7,driver,8
9,glass,nsubj,10,started,8
10,started,ROOT,-1,ROOT,8
11,to,aux,12,open,8
12,open,xcomp,10,started,8
13,.,punct,10,started,8
0,As,mark,2,walked,9
1,she,nsubj,2,walked,9
2,walked,advcl,10,started,9
3,past,prep,2,walked,9
4,it,pobj,3,past,9
5,",",punct,10,started,9
6,thhe,det,7,driver,9
7,driver,poss,9,glass,9
8,'s,case,7,driver,9
9,glass,nsubj,10,started,9
10,started,ROOT,-1,ROOT,9
11,to,aux,12,open,9
12,open,xcomp,10,started,9
13,.,punct,10,started,9
0,As,mark,2,walked,10
1,she,nsubj,2,walked,10
2,walked,advcl,10,started,10
3,past,prep,2,walked,10
4,it,pobj,3,past,10
5,",",punct,10,started,10
6,ths,det,7,driver,10
7,driver,poss,9,glass,10
8,'s,case,7,driver,10
9,glass,nsubj,10,started,10
10,started,ROOT,-1,ROOT,10
11,to,aux,12,open,10
12,open,xcomp,10,started,10
13,.,punct,10,started,10
0,As,mark,2,walked,11
1,she,nsubj,2,walked,11
2,walked,advcl,10,started,11
3,past,prep,2,walked,11
4,it,pobj,3,past,11
5,",",punct,10,started,11
6,their,det,7,driver,11
7,driver,poss,9,glass,11
8,'s,case,7,driver,11
9,glass,nsubj,10,started,11
10,started,ROOT,-1,ROOT,11
11,to,aux,12,open,11
12,open,xcomp,10,started,11
13,.,punct,10,started,11
0,As,mark,2,walked,12
1,she,nsubj,2,walked,12
2,walked,advcl,10,started,12
3,past,prep,2,walked,12
4,it,pobj,3,past,12
5,",",punct,10,started,12
6,hte,det,7,driver,12
7,driver,poss,9,glass,12
8,'s,case,7,driver,12
9,glass,nsubj,10,started,12
10,started,ROOT,-1,ROOT,12
11,to,aux,12,open,12
12,open,xcomp,10,started,12
13,.,punct,10,started,12
0,As,mark,2,walked,13
1,she,nsubj,2,walked,13
2,walked,advcl,10,started,13
3,past,prep,2,walked,13
4,it,pobj,3,past,13
5,",",punct,10,started,13
6,zhe,det,7,driver,13
7,driver,poss,9,glass,13
8,'s,case,7,driver,13
9,glass,nsubj,10,started,13
10,started,ROOT,-1,ROOT,13
11,to,aux,12,open,13
12,open,xcomp,10,started,13
13,.,punct,10,started,13
0,As,mark,2,walked,14
1,she,nsubj,2,walked,14
2,walked,advcl,10,started,14
3,past,prep,2,walked,14
4,it,pobj,3,past,14
5,",",punct,10,started,14
