sentence_id,word,deprel,head_id,head
0,As,mark,2,walked
0,she,nsubj,2,walked
0,walked,advcl,10,started
0,past,prep,2,walked
0,it,pobj,3,past
0,",",punct,10,started
0,the,det,7,driver
0,driver,poss,9,glass
0,'s,case,7,driver
0,glass,nsubj,10,started
0,started,ROOT,-1,ROOT
0,to,aux,12,open
0,open,xcomp,10,started
0,.,punct,10,started
1,With,prep,4,wiped
1,a,det,2,handkerchief
1,handkerchief,pobj,0,With
1,she,nsubj,4,wiped
1,wiped,ROOT,-1,ROOT
1,the,det,6,sweat
1,sweat,dobj,4,wiped
1,from,prep,4,wiped
1,her,poss,9,forehead
1,forehead,pobj,7,from
1,.,punct,4,wiped
2,Prudently,advmod,4,diversified
2,",",punct,4,diversified
2,they,nsubj,4,diversified
2,had,aux,4,diversified
2,diversified,ROOT,-1,ROOT
2,into,prep,4,diversified
2,banking,pobj,5,into
2,and,cc,6,banking
2,insurance,conj,6,banking
2,",",punct,4,diversified
2,and,cc,4,diversified
2,as,prep,17,felt
2,a,det,13,result
2,result,pobj,11,as
2,their,poss,15,influence
2,influence,nsubjpass,17,felt
2,was,auxpass,17,felt
2,felt,conj,4,diversified
2,at,prep,17,felt
2,the,det,21,level
2,highest,amod,21,level
2,level,pobj,18,at
2,.,punct,17,felt
3,The,det,2,marriage
3,arranged,amod,2,marriage
3,marriage,nsubj,4,be
3,would,aux,4,be
3,be,ROOT,-1,ROOT
3,the,det,7,event
3,social,amod,7,event
3,event,attr,4,be
3,of,prep,7,event
3,the,det,11,year
3,following,amod,11,year
3,year,pobj,8,of
3,.,punct,4,be
4,When,advmod,2,last
4,at,advmod,2,last
4,last,advmod,4,spoke
4,she,nsubj,4,spoke
4,spoke,ccomp,8,were
4,",",punct,8,were
4,her,poss,7,words
4,words,nsubj,8,were
4,were,ROOT,-1,ROOT
4,heavy,acomp,8,were
4,and,cc,9,heavy
4,disjointed,conj,9,heavy
4,.,punct,8,were
5,The,det,1,road
5,road,nsubj,5,was
5,to,prep,1,road
5,the,det,4,coast
5,coast,pobj,2,to
5,was,ROOT,-1,ROOT
5,busy,acomp,5,was
5,with,prep,6,busy
5,traffic,pobj,7,with
5,in,prep,5,was
5,both,det,11,directions
5,directions,pobj,9,in
5,.,punct,5,was
6,The,det,2,date
6,expected,amod,2,date
6,date,nsubj,3,came
6,came,ROOT,-1,ROOT
6,and,cc,3,came
6,went,conj,3,came
6,.,punct,3,came
7,She,nsubj,1,sighed
7,sighed,ROOT,-1,ROOT
7,at,prep,1,sighed
7,the,det,4,irony
7,irony,pobj,2,at
7,of,prep,4,irony
7,it,pobj,5,of
7,all,appos,6,it
7,",",punct,1,sighed
7,the,det,10,waste
7,waste,dobj,1,sighed
7,of,prep,10,waste
7,it,pobj,11,of
7,all,appos,12,it
7,.,punct,1,sighed
8,All,advmod,1,through
8,through,prep,6,stopped
8,August,pobj,1,through
8,the,det,4,rain
8,rain,nsubj,6,stopped
8,hardly,advmod,6,stopped
8,stopped,ROOT,-1,ROOT
8,.,punct,6,stopped
9,Thank,ROOT,-1,ROOT
9,the,det,2,gods
9,gods,dobj,0,Thank
9,he,nsubj,6,have
9,did,aux,6,have
9,n't,neg,6,have
9,have,relcl,2,gods
9,to,aux,8,know
9,know,xcomp,6,have
9,of,prep,8,know
9,this,pobj,9,of
9,.,punct,0,Thank
