sentence,labeled_precision,labeled_recall,correct_gold_subtrees,labeled_f1_score,total_gold_subtrees,total_test_subtrees,unlabeled_precision,unlabeled_recall,unlabeled_f1_score,correct_gold_spans,total_gold_spans,total_test_spans,errors.PP,errors.S,confusion.PP.SBAR,confusion.PP.PP,confusion.S.S,confusion.NP.NP,confusion.VP.VP,confusion.PP.VP,errors.NP,errors.VP,confusion.S.NP,confusion.PP.S,confusion.NP.ADVP,errors.ADJP,confusion.PP.ADVP,confusion.VP.NP,confusion.S.VP,errors.SBAR,confusion.SBAR.NP,confusion.ADJP.ADJP,confusion.SBAR.SBAR,confusion.PP.NP,confusion.S.SBAR,confusion.PP.ADJP,confusion.ADJP.VP,confusion.S.UCP,confusion.ADVP.ADVP,confusion.NP.PP,confusion.S.SINV,confusion.VP.ADJP
"As the walked past it , the driver 's glass started to open .",0.9230769230769231,0.8571428571428571,12,0.888888888888889,14,13,1.0,0.9285714285714286,0.962962962962963,13,14,13,1.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As Shi walked past it , the driver 's glass started to open .",0.9230769230769231,0.8571428571428571,12,0.888888888888889,14,13,1.0,0.9285714285714286,0.962962962962963,13,14,13,1.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As He walked past it , the driver 's glass started to open .",0.9230769230769231,0.8571428571428571,12,0.888888888888889,14,13,1.0,0.9285714285714286,0.962962962962963,13,14,13,1.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As sha walked past it , the driver 's glass started to open .",0.9230769230769231,0.8571428571428571,12,0.888888888888889,14,13,1.0,0.9285714285714286,0.962962962962963,13,14,13,1.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As she wakld past it , the driver 's glass started to open .",0.9230769230769231,0.8571428571428571,12,0.888888888888889,14,13,1.0,0.9285714285714286,0.962962962962963,13,14,13,1.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As she walked pst it , the driver 's glass started to open .",0.8461538461538461,0.7857142857142857,11,0.8148148148148148,14,13,0.9230769230769231,0.8571428571428571,0.888888888888889,12,14,13,2.0,1.0,1.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As she walked pas it , the driver 's glass started to open .",0.8461538461538461,0.7857142857142857,11,0.8148148148148148,14,13,0.9230769230769231,0.8571428571428571,0.888888888888889,12,14,13,2.0,1.0,1.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As she walked pasto it , the driver 's glass started to open .",0.8461538461538461,0.7857142857142857,11,0.8148148148148148,14,13,0.9230769230769231,0.8571428571428571,0.888888888888889,12,14,13,2.0,1.0,1.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As she walked pass it , the driver 's glass started to open .",0.8461538461538461,0.7857142857142857,11,0.8148148148148148,14,13,1.0,0.9285714285714286,0.962962962962963,13,14,13,2.0,1.0,1.0,0.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"As she walked past it , thhe driver 's glass started to open .",0.9230769230769231,0.8571428571428571,12,0.888888888888889,14,13,1.0,0.9285714285714286,0.962962962962963,13,14,13,1.0,1.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
